,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
0,0,11,26,-0.06933994412473062,[-1  0  1  2  3  4  5  6  7  8  9 10],[26  3  2  2  2  4  2  2  2  3  2  4],11,0,0,0,0
1,1,13,17,0.07042282242406463,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[17  3  6  2  3  2  2  4  2  2  2  2  3  4],12,1,0,0,0
2,2,13,12,0.0825873651271418,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[12  3 11  2  3  4  4  2  2  2  2  2  3  2],12,0,1,0,0
3,3,15,11,0.07107136116431427,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[11  2  8  2  2  5  2  2  4  2  2  2  2  3  2  3],13,2,0,0,0
4,4,12,12,0.1960377738258847,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[12  2 12  2  2  5  3  4  2  2  2  3  3],10,1,1,0,0
5,5,13,13,0.19575957026378277,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[13  2  8  2  2  5  3  4  2  2  2  2  3  4],11,2,0,0,0
6,6,13,11,0.3318602994184943,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[11  2 10  2  6  2  3  4  2  2  2  2  3  3],11,1,1,0,0
7,7,13,11,0.38936557459062526,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[11  3 10  2  6  2  3  4  2  2  2  2  2  3],11,1,1,0,0
8,8,11,11,0.2361716832186959,[-1  0  1  2  3  4  5  6  7  8  9 10],[11  3  7  5  2  6  4  3  4  4  2  3],8,3,0,0,0
9,9,11,12,0.3163507903711753,[-1  0  1  2  3  4  5  6  7  8  9 10],[12  3 13  2  6  2  2  4  2  2  3  3],9,1,1,0,0
10,10,11,11,0.37271272296491653,[-1  0  1  2  3  4  5  6  7  8  9 10],[11  3 12  2  6  2  3  5  2  2  3  3],8,2,1,0,0
11,11,11,11,0.3426454092372364,[-1  0  1  2  3  4  5  6  7  8  9 10],[11  3 12  2  6  2  3  5  2  2  3  3],8,2,1,0,0
12,12,11,11,0.2646784151738147,[-1  0  1  2  3  4  5  6  7  8  9 10],[11  2 12  2  6  3  2  4  2  5  2  3],8,2,1,0,0
13,13,11,9,0.3545252071299987,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 9  3 12  2  6  3  4  3  5  2  2  3],8,2,1,0,0
14,14,10,8,0.36375015551794754,[-1  0  1  2  3  4  5  6  7  8  9],[ 8  3 12  2  7  3  4  3  5  4  3],7,2,1,0,0
15,15,11,6,0.49280882561063166,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 6  3 12  2  7  2  3  4  3  5  4  3],8,2,1,0,0
16,16,9,6,0.5038887683671261,[-1  0  1  2  3  4  5  6  7  8],[ 6  3 12  7  3  6  4  5  5  3],4,4,1,0,0
17,17,10,4,0.378704709766734,[-1  0  1  2  3  4  5  6  7  8  9],[ 4  3 12  7  3  6  4  6  2  4  3],6,3,1,0,0
18,18,10,4,0.43767529518428594,[-1  0  1  2  3  4  5  6  7  8  9],[ 4  3 12  7  3  6  4  6  2  4  3],6,3,1,0,0
19,19,9,3,0.3690727483467512,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 12 12  3  6  4  6  2  3],5,2,2,0,0
20,20,9,3,0.33733061000623754,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 12 12  3  6  4  6  2  3],5,2,2,0,0
21,21,10,3,0.4169720612601808,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 12  7  3  6  4  6  2  5  3],5,4,1,0,0
22,22,10,3,0.36309480865243804,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 12  7  3  6  4  6  2  5  3],5,4,1,0,0
