,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
0,0,11,25,-0.17190276263254448,[-1  0  1  2  3  4  5  6  7  8  9 10],[25  5  2  2  3  2  2  2  2  3  2  4],10,1,0,0,0
1,1,13,17,0.07086905291234491,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[17  3  6  2  3  2  2  4  2  2  2  2  3  4],12,1,0,0,0
2,2,14,10,0.07635828638052508,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13],[10  3 11  2  3  4  4  2  2  2  2  2  2  3  2],13,0,1,0,0
3,3,15,11,0.07068291341794297,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[11  2  8  2  2  5  2  2  4  2  2  2  2  3  2  3],13,2,0,0,0
4,4,12,12,0.19452271083854344,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[12  2 12  2  2  5  3  4  2  2  2  3  3],10,1,1,0,0
5,5,13,13,0.20079997437260466,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[13  2  8  2  2  5  3  4  2  2  2  2  3  4],11,2,0,0,0
6,6,13,11,0.3328776057098107,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[11  2 10  2  6  2  3  4  2  2  2  2  3  3],11,1,1,0,0
7,7,13,11,0.3888452806362955,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[11  3 10  2  6  2  3  4  2  2  2  2  2  3],11,1,1,0,0
8,8,12,9,0.23255835316840423,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[9 3 7 5 2 6 4 3 2 4 4 2 3],9,3,0,0,0
9,9,10,12,0.2470431430261081,[-1  0  1  2  3  4  5  6  7  8  9],[12  3 13  2  6  2  2  4  4  3  3],8,1,1,0,0
10,10,12,10,0.3190847139567461,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[10  3 12  2  5  2  2  3  4  2  4  2  3],10,1,1,0,0
11,11,11,11,0.3412790455986564,[-1  0  1  2  3  4  5  6  7  8  9 10],[11  3 12  2  6  2  3  5  2  2  3  3],8,2,1,0,0
12,12,11,12,0.24463652226676183,[-1  0  1  2  3  4  5  6  7  8  9 10],[12  2 12  2  6  3  2  2  5  2  3  3],8,2,1,0,0
13,13,10,9,0.2783824779394554,[-1  0  1  2  3  4  5  6  7  8  9],[ 9  3 12  2  8  3  4  3  5  2  3],7,2,1,0,0
14,14,10,8,0.3641179008600158,[-1  0  1  2  3  4  5  6  7  8  9],[ 8  3 12  2  7  3  4  3  5  4  3],7,2,1,0,0
15,15,10,6,0.343114873640408,[-1  0  1  2  3  4  5  6  7  8  9],[ 6  3 12  2 11  2  3  4  3  5  3],7,1,2,0,0
16,16,9,6,0.44384942007937767,[-1  0  1  2  3  4  5  6  7  8],[ 6  3 12  8  3  6  4  5  4  3],5,3,1,0,0
17,17,10,3,0.3802315185802404,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 12  7  3  6  4  6  2  5  3],5,4,1,0,0
18,18,11,4,0.4301556626943446,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 4  3 12  7  3  6  4  6  2  2  2  3],7,3,1,0,0
19,19,9,3,0.36211062650287407,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 12 12  3  6  4  6  2  3],5,2,2,0,0
20,20,9,3,0.3347104191645035,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 12 12  3  6  4  6  2  3],5,2,2,0,0
21,21,9,3,0.27921436442461806,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 12 12  3  6  4  6  2  3],5,2,2,0,0
22,22,10,3,0.3594994591855795,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 12  7  3  6  4  6  2  5  3],5,4,1,0,0
23,23,9,3,0.3550870280661885,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 12 12  3  6  4  6  2  3],5,2,2,0,0
24,24,9,3,0.35695800723553517,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 12 12  3  6  4  6  2  3],5,2,2,0,0
25,25,9,2,0.3461938527969535,[-1  0  1  2  3  4  5  6  7  8],[ 2  3 13 12  3  6  4  6  2  3],5,2,2,0,0
26,26,9,2,0.36118766827146165,[-1  0  1  2  3  4  5  6  7  8],[ 2  3 13 12  3  6  4  6  2  3],5,2,2,0,0
27,27,9,4,0.4060549618346081,[-1  0  1  2  3  4  5  6  7  8],[ 4  3 13  7  3  6  4  6  5  3],4,4,1,0,0
28,28,10,2,0.42012003383778834,[-1  0  1  2  3  4  5  6  7  8  9],[ 2  3 13  7  3  6  4  6  2  5  3],5,4,1,0,0
29,29,10,3,0.3520148048959985,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 13  7  3  6  4  6  2  5  2],5,4,1,0,0
30,30,10,1,0.24360895744163694,[-1  0  1  2  3  4  5  6  7  8  9],[ 1  3 14  7  3  6  5  6  2  5  2],4,5,1,0,0
31,31,9,1,0.39316204518974296,[-1  0  1  2  3  4  5  6  7  8],[ 1  3 14  7  3  9  4  6  2  5],4,3,2,0,0
32,32,9,3,0.38043470731363777,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 14  8  3  6  4  6  2  5],4,4,1,0,0
33,33,9,5,0.3259526539363394,[-1  0  1  2  3  4  5  6  7  8],[ 5  3 13  7  3  6  4  6  2  5],4,4,1,0,0
34,34,9,4,0.36760000684144706,[-1  0  1  2  3  4  5  6  7  8],[ 4  3 13  8  3  6  4  6  2  5],4,4,1,0,0
35,35,9,4,0.24976600713557032,[-1  0  1  2  3  4  5  6  7  8],[ 4  3 13  7  3  6  5  6  2  5],3,5,1,0,0
36,36,9,4,0.2858149420722938,[-1  0  1  2  3  4  5  6  7  8],[ 4  3 13  7  3  6  5  6  2  5],3,5,1,0,0
37,37,9,5,0.4490914534355983,[-1  0  1  2  3  4  5  6  7  8],[ 5  3 13  7  3  6  5  6  2  4],4,4,1,0,0
38,38,7,5,0.42412827874651204,[-1  0  1  2  3  4  5  6],[ 5  3 13 11  9  5  6  2],2,2,3,0,0
39,39,8,5,0.3552327113064821,[-1  0  1  2  3  4  5  6  7],[ 5  3 13  6  9  6  4  6  2],3,3,2,0,0
40,40,7,5,0.4753020412059025,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],2,3,2,0,0
41,41,6,4,0.2564496538718352,[-1  0  1  2  3  4  5],[ 4  3 13 15  9  4  6],2,1,3,0,0
42,42,7,5,0.32752661210002726,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],2,3,2,0,0
43,43,7,5,0.3073194154010147,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],2,3,2,0,0
44,44,7,4,0.3897297337877634,[-1  0  1  2  3  4  5  6],[ 4  3 13  8  9  4  6  7],2,3,2,0,0
45,45,7,4,0.34956803010626664,[-1  0  1  2  3  4  5  6],[ 4  3 13  8  9  4  6  7],2,3,2,0,0
46,46,7,4,0.445598621584372,[-1  0  1  2  3  4  5  6],[ 4  3 13  8  9  4  6  7],2,3,2,0,0
47,47,7,4,0.4098981796845703,[-1  0  1  2  3  4  5  6],[ 4  3 13  8  9  4  6  7],2,3,2,0,0
48,48,7,4,0.36670884298594286,[-1  0  1  2  3  4  5  6],[ 4  2 14  8  9  4  6  7],2,3,2,0,0
49,49,6,3,0.2633824886742482,[-1  0  1  2  3  4  5],[ 3  3 14 15  9  4  6],2,1,3,0,0
50,50,7,3,0.30813630102658895,[-1  0  1  2  3  4  5  6],[ 3  3 14  8  9  4  6  7],2,3,2,0,0
51,51,7,2,0.07221583422915727,[-1  0  1  2  3  4  5  6],[ 2  3 14  8  9  4  7  7],2,3,2,0,0
52,52,7,2,0.12499869424492777,[-1  0  1  2  3  4  5  6],[ 2  3 14  8  9  4  7  7],2,3,2,0,0
53,53,7,1,0.20829329593035292,[-1  0  1  2  3  4  5  6],[ 1  3 14  8 10  4  7  7],2,3,2,0,0
54,54,6,1,0.2685038518904434,[-1  0  1  2  3  4  5],[ 1  3 14  8 10  4 14],2,1,3,0,0
55,55,6,2,0.143956009917078,[-1  0  1  2  3  4  5],[ 2  3 14  8  9  4 14],2,1,3,0,0
56,56,6,3,0.1493875031043384,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],2,1,3,0,0
57,57,6,3,0.3008317954073423,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],2,1,3,0,0
58,58,6,3,0.25358720060625944,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],2,1,3,0,0
59,59,6,3,0.39176578670792145,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],2,1,3,0,0
60,60,7,3,0.3935523920202331,[-1  0  1  2  3  4  5  6],[ 3  3 14  7  9  2 14  2],3,1,3,0,0
61,61,6,3,0.23916210969054855,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],2,1,3,0,0
62,62,6,2,0.3964628153875989,[-1  0  1  2  3  4  5],[ 2  3 14  7 10  4 14],2,1,3,0,0
63,63,5,2,0.4674070371686017,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],2,0,2,1,0
64,64,4,2,0.13679930418499214,[-1  0  1  2  3],[ 2  3 31  4 14],2,0,1,1,0
65,65,5,2,0.4925813369834291,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],2,0,2,1,0
66,66,4,2,0.14093285932560365,[-1  0  1  2  3],[ 2  3 31  4 14],2,0,1,1,0
67,67,4,1,0.08818170010682852,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
