,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
0,0,6,34,-0.23135378821718203,[-1  0  1  2  3  4  5],[34  2  3  7  3  2  3],5,1,0,0,0
1,1,9,28,-0.24454153936299144,[-1  0  1  2  3  4  5  6  7  8],[28  3  3  2  3  3  4  4  2  2],9,0,0,0,0
2,2,9,33,-0.29806328257646136,[-1  0  1  2  3  4  5  6  7  8],[33  2  2  2  2  2  2  3  3  3],9,0,0,0,0
3,3,13,23,-0.28763429837415155,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[23  2  2  4  3  2  2  2  2  4  2  2  2  2],13,0,0,0,0
4,4,13,20,-0.2732095952749538,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[20  2  2  3  3  3  3  2  3  2  2  3  4  2],13,0,0,0,0
5,5,10,25,-0.2513459058943952,[-1  0  1  2  3  4  5  6  7  8  9],[25  7  3  4  3  2  2  2  2  2  2],9,1,0,0,0
6,6,11,22,-0.1869727350693687,[-1  0  1  2  3  4  5  6  7  8  9 10],[22  2  4  3  2  6  2  3  2  3  2  3],10,1,0,0,0
7,7,8,23,-0.22446592643412638,[-1  0  1  2  3  4  5  6  7],[23  2  3 14  2  3  3  2  2],7,0,1,0,0
8,8,9,26,-0.1320661901825866,[-1  0  1  2  3  4  5  6  7  8],[26  2  5  8  2  3  2  2  2  2],7,2,0,0,0
9,9,10,26,-0.2551447261947758,[-1  0  1  2  3  4  5  6  7  8  9],[26  3  4  2  3  2  5  2  2  2  3],9,1,0,0,0
10,10,11,30,-0.24987017578217632,[-1  0  1  2  3  4  5  6  7  8  9 10],[30  2  2  2  2  4  2  2  2  2  2  2],11,0,0,0,0
11,11,8,29,-0.2951888622937877,[-1  0  1  2  3  4  5  6  7],[29  4  6  2  2  2  2  4  3],7,1,0,0,0
12,12,12,20,-0.20645153800122082,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[20  2  7  2  3  2  2  2  3  3  3  3  2],11,1,0,0,0
13,13,8,31,-0.27208197440447185,[-1  0  1  2  3  4  5  6  7],[31  2  8  3  2  2  2  2  2],7,1,0,0,0
