,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
0,0,9,31,-0.02942307376085778,[-1  0  1  2  3  4  5  6  7  8],[31  3  2  2  2  4  2  2  2  4],9,0,0,0,0
1,1,13,20,0.1600455270628223,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[20  3  3  2  2  3  2  2  4  2  2  2  3  4],13,0,0,0,0
2,2,10,21,0.16301113965116845,[-1  0  1  2  3  4  5  6  7  8  9],[21  3  8  2  3  4  4  2  2  3  2],9,1,0,0,0
3,3,15,17,0.2611340535643542,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[17  2  2  4  2  2  5  2  2  4  2  2  2  2  2  2],14,1,0,0,0
4,4,11,16,0.27202639556208746,[-1  0  1  2  3  4  5  6  7  8  9 10],[16  2 10  2  2  5  3  4  2  2  3  3],9,1,1,0,0
5,5,12,16,0.24722132398501348,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[16  2  8  2  2  4  3  4  2  2  2  3  4],11,1,0,0,0
6,6,12,13,0.3358551399323501,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[13  2 10  6  2  3  4  2  2  2  2  3  3],10,1,1,0,0
7,7,13,11,0.38936557459062526,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[11  3 10  2  6  2  3  4  2  2  2  2  2  3],11,1,1,0,0
8,8,12,12,0.35010833461330143,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[12  3  7  5  2  6  3  4  2  2  2  3  3],9,3,0,0,0
9,9,10,14,0.3154020461372533,[-1  0  1  2  3  4  5  6  7  8  9],[14  3 13  2  6  2  4  2  2  3  3],8,1,1,0,0
10,10,11,11,0.37271272296491653,[-1  0  1  2  3  4  5  6  7  8  9 10],[11  3 12  2  6  2  3  5  2  2  3  3],8,2,1,0,0
11,11,10,13,0.34677791756798704,[-1  0  1  2  3  4  5  6  7  8  9],[13  3 12  2  6  3  5  2  2  3  3],7,2,1,0,0
12,12,11,13,0.3546274502571776,[-1  0  1  2  3  4  5  6  7  8  9 10],[13  2 11  2  5  3  2  4  2  5  2  3],8,2,1,0,0
13,13,10,12,0.39781802414569006,[-1  0  1  2  3  4  5  6  7  8  9],[12  3 12  2  6  4  3  2  5  2  3],7,2,1,0,0
14,14,10,10,0.44072880928584945,[-1  0  1  2  3  4  5  6  7  8  9],[10  3 12  2  6  3  4  3  5  3  3],7,2,1,0,0
15,15,11,6,0.49280882561063166,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 6  3 12  2  7  2  3  4  3  5  4  3],8,2,1,0,0
16,16,9,6,0.5038887683671261,[-1  0  1  2  3  4  5  6  7  8],[ 6  3 12  7  3  6  4  5  5  3],4,4,1,0,0
17,17,9,8,0.4536703406063301,[-1  0  1  2  3  4  5  6  7  8],[ 8  3 12  7  3  4  5  6  3  3],5,3,1,0,0
18,18,10,6,0.5167104017709019,[-1  0  1  2  3  4  5  6  7  8  9],[ 6  3 12  7  3  5  4  6  2  3  3],6,3,1,0,0
19,19,11,3,0.6092674009457832,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 3  3 12  5  3  6  4  2  6  2  5  3],6,4,1,0,0
20,20,11,5,0.5867252975692906,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 5  3 12  4  3  6  4  3  6  2  3  3],8,2,1,0,0
21,21,11,4,0.569197995974702,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 4  3 12  5  3  5  4  2  6  2  5  3],6,4,1,0,0
22,22,12,4,0.5692583855441293,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[ 4  3 12  4  3  6  4  2  6  2  3  2  3],9,2,1,0,0
23,23,11,4,0.5974113968035887,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 4  3 12  4  3  3  6  4  6  2  4  3],8,2,1,0,0
24,24,11,4,0.5839214736569763,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 4  3 12  6  3  6  4  6  2  2  3  3],7,3,1,0,0
25,25,12,2,0.6033314969134926,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[ 2  3 13  5  3  2  6  4  6  2  3  2  3],8,3,1,0,0
26,26,11,2,0.6058428425258694,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 2  3 13  3  3  4  6  4  6  2  5  3],7,3,1,0,0
27,27,10,5,0.5255592133051836,[-1  0  1  2  3  4  5  6  7  8  9],[ 5  3 13  2  3  4  6  4  6  5  3],6,3,1,0,0
28,28,11,3,0.5507836884882167,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 3  3 13  3  3  6  4  3  6  2  5  3],7,3,1,0,0
29,29,12,3,0.572158587761968,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[ 3  3 13  2  3  5  2  4  4  6  2  5  2],8,3,1,0,0
30,30,11,4,0.5334544125167299,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 4  3 13  4  3  5  4  3  6  2  5  2],7,3,1,0,0
31,31,9,4,0.5194070575888953,[-1  0  1  2  3  4  5  6  7  8],[ 4  3 13  3  5  9  4  6  2  5],4,3,2,0,0
32,32,9,7,0.4977303185129976,[-1  0  1  2  3  4  5  6  7  8],[ 7  3 13  3  5  6  4  6  2  5],4,4,1,0,0
33,33,9,9,0.41879689686647,[-1  0  1  2  3  4  5  6  7  8],[ 9  3 13  3  5  6  4  6  2  3],5,3,1,0,0
34,34,10,6,0.5233350894351668,[-1  0  1  2  3  4  5  6  7  8  9],[ 6  3 13  4  3  6  4  4  6  3  2],7,2,1,0,0
35,35,10,8,0.5009696994745513,[-1  0  1  2  3  4  5  6  7  8  9],[ 8  3 13  4  2  6  4  6  2  4  2],7,2,1,0,0
36,36,10,8,0.4721526764800476,[-1  0  1  2  3  4  5  6  7  8  9],[ 8  3 13  3  2  6  4  2  6  2  5],6,3,1,0,0
37,37,9,7,0.5052806940607577,[-1  0  1  2  3  4  5  6  7  8],[ 7  3 13  6  2  6  5  6  2  4],4,4,1,0,0
38,38,8,3,0.5956572980438145,[-1  0  1  2  3  4  5  6  7],[ 3  3 13  8  9  5  6  2  5],2,4,2,0,0
39,39,9,5,0.5263991768604576,[-1  0  1  2  3  4  5  6  7  8],[ 5  3 13  7  9  4  3  2  3  5],5,2,2,0,0
40,40,7,7,0.5376097528589744,[-1  0  1  2  3  4  5  6],[ 7  3 13  6  9  4  5  7],2,3,2,0,0
41,41,8,6,0.5150895480305739,[-1  0  1  2  3  4  5  6  7],[ 6  3 13  6  9  4  3  7  3],4,2,2,0,0
42,42,9,6,0.5149960920133501,[-1  0  1  2  3  4  5  6  7  8],[ 6  3 13  3  9  3  4  4  7  2],6,1,2,0,0
43,43,9,7,0.5020922054376368,[-1  0  1  2  3  4  5  6  7  8],[ 7  3 13  3  9  2  4  3  7  3],6,1,2,0,0
44,44,8,6,0.5285835723802917,[-1  0  1  2  3  4  5  6  7],[ 6  3 13  6  9  4  2  7  4],4,2,2,0,0
45,45,9,6,0.5249434188461287,[-1  0  1  2  3  4  5  6  7  8],[ 6  3 13  2  9  4  4  2  7  4],6,1,2,0,0
46,46,7,6,0.5208228180758211,[-1  0  1  2  3  4  5  6],[ 6  3 13  7  8  4  6  7],2,4,1,0,0
47,47,7,7,0.49558150805499457,[-1  0  1  2  3  4  5  6],[ 7  3 13  7  7  4  6  7],2,4,1,0,0
48,48,8,6,0.5092556996811558,[-1  0  1  2  3  4  5  6  7],[ 6  2 14  7  6  4  6  7  2],3,4,1,0,0
