,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
0,0,9,0,0.0435896274284227,[0 1 2 3 4 5 6 7 8],[7 4 3 5 7 7 9 5 7],0,2,5,1,0,0
1,1,9,0,0.0476335587412318,[0 1 2 3 4 5 6 7 8],[7 5 8 3 5 5 5 8 8],"0,2",1,7,0,0,0
2,2,9,0,-0.0009352534229549263,[0 1 2 3 4 5 6 7 8],[ 5 11  5  7  3  5  7  4  7],"0,4",2,5,1,0,0
3,3,9,0,0.11239523677108011,[0 1 2 3 4 5 6 7 8],[10  5  6  3  4  4  7  5 10],"0,6",3,4,1,0,0
4,4,8,0,0.17967784749634674,[0 1 2 3 4 5 6 7],[12  7  8  5  8  5  4  5],"0,8",1,6,0,0,0
5,5,10,0,0.19375538515209545,[0 1 2 3 4 5 6 7 8 9],[5 9 2 6 5 7 4 4 4 8],1,4,4,1,0,0
6,6,8,0,0.23698908337710237,[0 1 2 3 4 5 6 7],[15  7  5  5  5  9  4  4],"1,2",2,4,1,0,0
7,7,7,0,0.171563652598306,[0 1 2 3 4 5 6],[ 5 14  8  7 10  4  6],"1,4",1,3,2,0,0
8,8,9,0,0.21118935361643112,[0 1 2 3 4 5 6 7 8],[5 7 9 2 6 5 8 8 4],"1,6",2,5,1,0,0
9,9,9,0,0.2838940097830643,[0 1 2 3 4 5 6 7 8],[12  7  3  5  7  6  6  4  4],"1,8",3,5,0,0,0
10,10,10,0,0.3025376792763267,[0 1 2 3 4 5 6 7 8 9],[ 6  3  7  3  4  4  5  6 13  3],2,5,3,1,0,0
11,11,8,0,0.3124724271619222,[0 1 2 3 4 5 6 7],[ 8  4  6  6  7  5  4 14],"2,2",2,4,1,0,0
12,12,10,0,0.31067384439844786,[0 1 2 3 4 5 6 7 8 9],[12  2  7  4  5  7  5  4  5  3],"2,4",4,5,0,0,0
13,13,8,0,0.3216674185422161,[0 1 2 3 4 5 6 7],[ 8  5  5  4  4  5  6 17],"2,6",2,4,0,1,0
14,14,7,0,0.1871354754194481,[0 1 2 3 4 5 6],[10  6  4  6  6 15  7],"2,8",1,4,1,0,0
15,15,7,0,0.26135221851067525,[0 1 2 3 4 5 6],[14  6 10  6  3  4 11],3,2,2,2,0,0
16,16,8,0,0.4403800601005856,[0 1 2 3 4 5 6 7],[13  4  5 10  4  9  3  6],"3,2",3,2,2,0,0
17,17,7,0,0.28164540573842445,[0 1 2 3 4 5 6],[ 4  9 10  5 10 12  4],"3,4",1,1,4,0,0
18,18,7,0,0.33018368443052964,[0 1 2 3 4 5 6],[ 4  8 10  5 10 13  4],"3,6",1,2,3,0,0
19,19,7,0,0.2269148831715161,[0 1 2 3 4 5 6],[ 4  4 14  3  7 16  6],"3,8",2,2,1,1,0
20,20,6,0,0.19009208703148903,[0 1 2 3 4 5],[17  6  5 14  6  6],4,0,4,1,0,0
21,21,7,0,0.3128174148380478,[0 1 2 3 4 5 6],[16  7  7 10  2  6  6],"4,2",1,4,1,0,0
22,22,9,0,0.33941906553122114,[0 1 2 3 4 5 6 7 8],[12  6  7  9  4  2  3  5  6],"4,4",3,4,1,0,0
23,23,8,0,0.38220093588565585,[0 1 2 3 4 5 6 7],[ 9  4  8  2  4  5 16  6],"4,6",3,3,0,1,0
24,24,9,0,0.4060857863799723,[0 1 2 3 4 5 6 7 8],[ 3  3 14  9  2  8  5  4  6],"4,8",3,3,2,0,0
25,25,10,0,0.42127720734123353,[0 1 2 3 4 5 6 7 8 9],[ 3  6  3 13  6  3  8  5  3  4],5,4,4,1,0,0
26,26,8,0,0.3842826434501672,[0 1 2 3 4 5 6 7],[ 3 14  8  9  5  6  5  4],"5,2",1,4,2,0,0
27,27,7,0,0.4235513217912896,[0 1 2 3 4 5 6],[ 8 13  9  4  5  9  6],"5,4",1,2,3,0,0
28,28,8,0,0.39102750102628386,[0 1 2 3 4 5 6 7],[ 3  7 10  4  6  2  5 17],"5,6",2,3,1,1,0
29,29,7,0,0.2327940073143338,[0 1 2 3 4 5 6],[ 8  8  5  4  6  9 14],"5,8",1,3,2,0,0
30,30,7,0,0.32654039780046074,[0 1 2 3 4 5 6],[ 8  8  5  3  9  5 16],6,1,3,1,1,0
31,31,6,0,0.324085766628915,[0 1 2 3 4 5],[17  8  8  6  9  6],"6,2",0,4,1,0,0
32,32,7,0,0.3251193044021652,[0 1 2 3 4 5 6],[ 3  9  8  6  7  4 17],"6,4",1,3,1,1,0
33,33,8,0,0.27558349381717084,[0 1 2 3 4 5 6 7],[ 3  7  5 15  8  4  6  6],"6,6",1,5,1,0,0
