,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
0,0,7,0,0.27287195630234345,[0 1 2 3 4 5 6],[ 4  5  7 15 10  4  9],0,1,2,3,0,0
1,1,8,0,0.3261367748308462,[0 1 2 3 4 5 6 7],[ 4  5  6  3  3  7 10 16],"0,2",2,3,1,1,0
2,2,8,0,0.34681821642003,[0 1 2 3 4 5 6 7],[ 3 11 13  4 11  3  3  6],"0,4",3,1,3,0,0
3,3,6,0,0.37303733508102305,[0 1 2 3 4 5],[ 8 10  6 10  7 13],"0,6",0,2,3,0,0
4,4,8,0,0.4284273322184042,[0 1 2 3 4 5 6 7],[ 7  8  2  4  9  8  3 13],"0,8",3,2,2,0,0
5,5,7,1,0.3983986952408428,[0 1 2 3 4 5 6],[17  1  5  7  6  4 14],1,1,3,1,0,0
6,6,7,0,0.4222824569786643,[0 1 2 3 4 5 6],[ 8  3 11  5  3 18  6],"1,2",2,2,1,1,0
7,7,8,0,0.3981168122901475,[0 1 2 3 4 5 6 7],[ 5  6 10  2  3 17  7  4],"1,4",3,2,1,1,0
8,8,7,0,0.4414969291993254,[0 1 2 3 4 5 6],[ 4  8 15  3  4 18  2],"1,6",3,1,1,1,0
9,9,8,0,0.4018047784747587,[0 1 2 3 4 5 6 7],[ 7  9  5  3  8 16  2  4],"1,8",3,2,1,1,0
10,10,6,0,0.44483417645867834,[0 1 2 3 4 5],[ 4  8 11 10 16  5],2,0,2,2,1,0
11,11,7,0,0.4521786219027181,[0 1 2 3 4 5 6],[ 3 11  6  8  6  5 15],"2,2",0,4,2,0,0
12,12,7,0,0.39709222225453294,[0 1 2 3 4 5 6],[ 8  4  9  7  6  6 14],"2,4",1,3,2,0,0
13,13,8,0,0.4541915452957773,[0 1 2 3 4 5 6 7],[ 6  4  9  2  6  6  5 16],"2,6",2,3,1,1,0
14,14,8,0,0.4935063306803802,[0 1 2 3 4 5 6 7],[ 9  3  3  6  6  6 14  7],"2,8",2,4,1,0,0
15,15,7,1,0.4525122119080945,[0 1 2 3 4 5 6],[ 6 19  1  7  7  4 10],3,1,2,1,1,0
16,16,7,0,0.4943118549947674,[0 1 2 3 4 5 6],[13  5  7  7  9  4  9],"3,2",1,3,2,0,0
17,17,7,0,0.5030052726182157,[0 1 2 3 4 5 6],[ 8  6 10  5  7  4 14],"3,4",1,3,2,0,0
18,18,8,0,0.5583345935938647,[0 1 2 3 4 5 6 7],[ 8  7  5 10  2  5 13  4],"3,6",2,3,2,0,0
19,19,8,0,0.5375432890795374,[0 1 2 3 4 5 6 7],[ 5  9  2  4  7  6  6 15],"3,8",2,3,2,0,0
20,20,8,0,0.5034517336165036,[0 1 2 3 4 5 6 7],[18  4  8  3  5  8  5  3],4,3,4,0,0,0
21,21,7,0,0.5133940955001326,[0 1 2 3 4 5 6],[15  6  8  2 11  6  6],"4,2",1,4,1,0,0
22,22,8,0,0.525867706010358,[0 1 2 3 4 5 6 7],[16  5  9  4  2  9  5  4],"4,4",3,2,2,0,0
23,23,9,0,0.5665243239723751,[0 1 2 3 4 5 6 7 8],[ 3  9  4  3  4  4  5  7 15],"4,6",4,2,2,0,0
24,24,7,0,0.48690323757818743,[0 1 2 3 4 5 6],[16  7  5  4  7 10  5],"4,8",1,4,1,0,0
25,25,7,0,0.5344542158784498,[0 1 2 3 4 5 6],[ 9  3 13  3  6  4 16],5,3,1,1,1,0
26,26,6,0,0.5288596980476823,[0 1 2 3 4 5],[ 9 10  5  5  9 16],"5,2",0,2,2,1,0
27,27,6,0,0.5220596976800979,[0 1 2 3 4 5],[ 9  9  5  7  8 16],"5,4",0,3,1,1,0
28,28,7,0,0.543397032167047,[0 1 2 3 4 5 6],[ 4  9  6  4  8  7 16],"5,6",1,3,1,1,0
29,29,7,0,0.4992357473614617,[0 1 2 3 4 5 6],[16 10 11  3  4  5  5],"5,8",2,2,2,0,0
30,30,6,0,0.5350264583802397,[0 1 2 3 4 5],[ 5  8 10  9 16  6],6,0,2,2,1,0
31,31,7,0,0.5228809050426666,[0 1 2 3 4 5 6],[16 10  9  8  3  4  4],"6,2",3,1,2,0,0
32,32,8,0,0.5693336151537479,[0 1 2 3 4 5 6 7],[10  7  3  4  5  5  4 16],"6,4",3,3,0,1,0
33,33,7,0,0.42754545759574364,[0 1 2 3 4 5 6],[ 4 10  4  9  7  9 11],"6,6",1,1,4,0,0
34,34,8,0,0.5380519458623422,[0 1 2 3 4 5 6 7],[ 4  3 15  8 11  4  5  4],"6,8",3,2,2,0,0
35,35,7,0,0.5291898269287931,[0 1 2 3 4 5 6],[17  4  5  6  2 11  9],7,2,2,2,0,0
36,36,8,0,0.5701261808579513,[0 1 2 3 4 5 6 7],[18  3  9  2  7  3  8  4],"7,2",4,2,1,0,0
37,37,7,0,0.581345543394183,[0 1 2 3 4 5 6],[ 6  6  4  9  5  9 15],"7,4",1,2,3,0,0
38,38,6,0,0.6141338850583424,[0 1 2 3 4 5],[17  8  7  7  5 10],"7,6",0,4,1,0,0
39,39,7,0,0.5841245603859514,[0 1 2 3 4 5 6],[17  4  8  7 10  5  3],"7,8",2,3,1,0,0
40,40,8,0,0.571991455599604,[0 1 2 3 4 5 6 7],[ 3 14  6  5  3  8 10  5],8,1,4,2,0,0
41,41,7,0,0.5484482026610602,[0 1 2 3 4 5 6],[ 3 14 13  6  8  5  5],"8,2",0,4,2,0,0
42,42,6,0,0.5352673352745941,[0 1 2 3 4 5],[15 14  3 11  5  6],"8,4",1,2,2,0,0
43,43,7,1,0.531579244996728,[0 1 2 3 4 5 6],[ 4 14 13  1  4 13  5],"8,6",1,1,3,0,0
44,44,7,0,0.5674584268363597,[0 1 2 3 4 5 6],[ 1 17  3 12  6 10  5],"8,8",1,2,2,1,0
45,45,7,0,0.5238130214350588,[0 1 2 3 4 5 6],[ 3 16  2 13  5 10  5],9,1,2,2,1,0
46,46,7,0,0.5439798201124654,[0 1 2 3 4 5 6],[ 3  7  6  8  9  5 16],"9,2",0,4,1,1,0
47,47,7,0,0.49650416845347334,[0 1 2 3 4 5 6],[ 3 11 10  9  3 14  4],"9,4",2,0,4,0,0
48,48,5,0,0.49470964162353,[0 1 2 3 4],[ 3 17 10 18  6],"9,6",0,1,1,2,0
49,49,7,0,0.5753728408127952,[0 1 2 3 4 5 6],[ 3  5 14 13  8  6  5],"9,8",0,4,2,0,0
50,50,7,0,0.5491095442332101,[0 1 2 3 4 5 6],[14  2 12  4  9  8  5],10,2,2,2,0,0
51,51,7,0,0.5625283572092606,[0 1 2 3 4 5 6],[10 11  4  8  8  5  8],"10,2",1,4,1,0,0
52,52,7,0,0.511661237374038,[0 1 2 3 4 5 6],[ 3  7 10 12  9  6  7],"10,4",0,3,3,0,0
53,53,7,0,0.516299303073495,[0 1 2 3 4 5 6],[ 3  8 13  8  8  8  6],"10,6",0,5,1,0,0
54,54,7,0,0.5224680870643772,[0 1 2 3 4 5 6],[ 4  9  3 15  7  6 10],"10,8",1,2,3,0,0
55,55,7,0,0.5001984863635437,[0 1 2 3 4 5 6],[ 5  4 15  7  7  7  9],11,1,3,2,0,0
56,56,6,0,0.5055052881975655,[0 1 2 3 4 5],[ 5 15  6 13  7  8],"11,2",0,3,2,0,0
57,57,5,0,0.5652633803265739,[0 1 2 3 4],[18  9  5 15  7],"11,4",0,2,2,0,0
