,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
0,0,10,32,-0.11684013845635695,[-1  0  1  2  3  4  5  6  7  8  9],[32  3  2  2  3  2  2  2  2  2  2],0,10,0,0,0,0
1,1,13,21,0.06538892526719903,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[21  3  4  2  3  2  2  4  2  2  2  2  3  2],"0,2",13,0,0,0,0
2,2,14,13,0.08517574939452918,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13],[13  3  7  2  3  4  4  2  2  2  2  2  3  2  3],"0,4",13,1,0,0,0
3,3,15,13,0.04474769655193386,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[13  2  7  2  2  4  2  2  4  2  2  2  2  3  2  3],"0,6",14,1,0,0,0
4,4,12,16,0.1215776007477468,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[16  8  2  2  5  3  4  2  2  2  3  2  3],"0,8",10,2,0,0,0
5,5,12,15,0.1557131827897608,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[15  2  8  2  2  5  3  4  2  2  2  3  4],1,10,2,0,0,0
6,6,13,11,0.3318602994184943,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[11  2 10  2  6  2  3  4  2  2  2  2  3  3],"1,2",11,1,1,0,0
7,7,13,12,0.37115550705108574,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[12  2 10  2  6  2  3  4  2  2  2  2  2  3],"1,4",11,1,1,0,0
8,8,11,14,0.2147525835614923,[-1  0  1  2  3  4  5  6  7  8  9 10],[14  3  7  5  2  6  2  4  4  2  2  3],"1,6",8,3,0,0,0
9,9,13,13,0.21964812102712616,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[13  3  7  5  2  6  2  2  2  2  2  2  3  3],"1,8",10,3,0,0,0
10,10,11,13,0.3459125011678483,[-1  0  1  2  3  4  5  6  7  8  9 10],[13  3 12  2  5  2  3  4  2  2  3  3],2,9,1,1,0,0
11,11,11,13,0.30307591653728455,[-1  0  1  2  3  4  5  6  7  8  9 10],[13  3 12  2  5  2  3  4  2  2  3  3],"2,2",9,1,1,0,0
12,12,11,13,0.23641132191921077,[-1  0  1  2  3  4  5  6  7  8  9 10],[13  2 12  2  6  2  2  2  5  2  3  3],"2,4",8,2,1,0,0
13,13,10,12,0.3015062493073874,[-1  0  1  2  3  4  5  6  7  8  9],[12  3 12  2  6  3  4  3  5  2  2],"2,6",7,2,1,0,0
14,14,10,9,0.3954895688189858,[-1  0  1  2  3  4  5  6  7  8  9],[ 9  3 12  2  6  3  4  3  5  4  3],"2,8",7,2,1,0,0
15,15,11,8,0.46694676017806197,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 8  3 12  7  2  3  4  3  5  2  2  3],3,8,2,1,0,0
16,16,9,7,0.48820902734320015,[-1  0  1  2  3  4  5  6  7  8],[ 7  3 12  7  3  6  4  5  4  3],"3,2",5,3,1,0,0
17,17,10,4,0.378704709766734,[-1  0  1  2  3  4  5  6  7  8  9],[ 4  3 12  7  3  6  4  6  2  4  3],"3,4",6,3,1,0,0
18,18,10,6,0.44316456271716836,[-1  0  1  2  3  4  5  6  7  8  9],[ 6  3 12  7  3  6  4  6  2  2  3],"3,6",6,3,1,0,0
19,19,9,3,0.3690727483467512,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 12 12  3  6  4  6  2  3],"3,8",5,2,2,0,0
20,20,10,4,0.361426965172406,[-1  0  1  2  3  4  5  6  7  8  9],[ 4  2 12  7  3  6  4  6  2  5  3],4,5,4,1,0,0
21,21,10,4,0.3901376197186413,[-1  0  1  2  3  4  5  6  7  8  9],[ 4  3 12  7  3  6  3  6  2  5  3],"4,2",5,4,1,0,0
22,22,10,3,0.36309480865243804,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 12  7  3  6  4  6  2  5  3],"4,4",5,4,1,0,0
23,23,10,3,0.4310956771474864,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 12  7  3  6  4  6  2  5  3],"4,6",5,4,1,0,0
24,24,10,4,0.42953133403874266,[-1  0  1  2  3  4  5  6  7  8  9],[ 4  3 12  6  3  6  4  6  2  5  3],"4,8",5,4,1,0,0
25,25,10,3,0.3914160561730701,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 12  7  3  6  4  6  2  5  3],5,5,4,1,0,0
